kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
source,m6_cache_20260824T181908,8,,,,95,0.025,,5.299929002634004e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,90,0.024,,3.0722886548542607e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,8,,,,73,0.024,,1.9647608314084982e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,73,0.023,,3.014551753093455e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,75,0.025,,3.2538733094218025e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,81,0.023,,4.631795128323137e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,95,0.025,,1.2047898704329462e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,73,0.019,,5.983827326751931e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,62,0.022,,6.083048428569954e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,62,0.023,,4.065778224715865e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,75,0.023,,2.300870781411307e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,74,0.025,,5.268044750327745e+17,576.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,115,0.026,,5.674676783372468e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,8,,,,95,0.025,,6.849286605810571e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,115,0.024,,4.566039969296448e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,8,,,,81,0.022,,5.780641155646534e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,8,,,,4,0.02,,3.597514707925244e+18,27.0,INCONCLUSIVE
source,m6_cache_20260824T181908,8,,,,74,0.02,,4.5340694654030725e+18,576.0,SPURIOUS
batch,m6_cache_20260824T181908,9,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,9,,,,95,0.02,,1.886436055442249e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,62,0.018,,5.467622873958751e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,81,0.02,,5.03867246419804e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,77,0.018,,1.3423786667232663e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,9,,,,81,0.018,,8.688639511776442e+17,649.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,75,0.018,,2.989538791273939e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,88,0.018,,2.566461354152575e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,95,0.017,,5.356683903089068e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,74,0.017,,3.464913154642473e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,62,0.016,,1.2776880067503196e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,75,0.016,,4.0401275762665636e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,95,0.017,,3.3962219602682404e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,90,0.019,,6.411562368137194e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,9,,,,115,0.021,,6.276650676500243e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,9,,,,81,0.02,,1.251294711160534e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,88,0.022,,1.255744194199869e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,77,0.02,,9.857963255970939e+17,558.0,CONFIRMED
source,m6_cache_20260824T181908,9,,,,97,0.021,,2.0586881627189286e+17,637.0,SPURIOUS
source,m6_cache_20260824T181908,9,,,,90,0.019,,2.8624093054989404e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,9,,,,90,0.023,,6.917071738179547e+18,558.0,CONFIRMED
batch,m6_cache_20260824T181908,10,20.0,1.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,10,,,,73,0.024,,6.2188484568772e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,62,0.017,,6.130255998960172e+17,515.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,88,0.02,,1.6445341815455432e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,115,0.023,,6.410320813350903e+18,824.0,CONFIRMED
source,m6_cache_20260824T181908,10,,,,74,0.021,,2.856698098507352e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,81,0.022,,4.865065492401421e+17,462.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,75,0.02,,4.573946729210714e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,62,0.018,,2.2454945010956954e+17,515.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,81,0.021,,1.4962070736612966e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,73,0.018,,2.581557958039687e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,90,0.021,,5.015791524146226e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,10,,,,90,0.023,,5.839685308022836e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,10,,,,90,0.021,,1.3207449508135908e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,10,,,,95,0.02,,2.8435988605725184e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,75,0.022,,1.6268458956090737e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,62,0.023,,5.212664063261321e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,73,0.024,,1.9904920792525565e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,10,,,,77,0.024,,5.527237638507221e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,10,,,,97,0.027,,5.992613081828524e+18,637.0,SPURIOUS
batch,m6_cache_20260824T181908,11,20.0,2.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,11,,,,81,0.025,,4.464652765148795e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,88,0.021,,4.448242828981822e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,88,0.018,,6.685604337007194e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,97,0.022,,6.092654861665007e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,4,0.017,,6.38036018664591e+18,35.0,INCONCLUSIVE
source,m6_cache_20260824T181908,11,,,,81,0.021,,1.0984897047342996e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,97,0.021,,3.484138291549376e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,11,,,,90,0.02,,1.9027337727044541e+18,558.0,CONFIRMED
