band,donor,f_true,inject_psf,recover_psf,f_rec,ratio,lam_um
4-long,con,0.05,epsf,gauss,0.2056139790831788,4.112279581663576,26.81799963954836
4-long,con,0.05,epsf,epsf,0.06759640602742305,1.3519281205484608,26.81799963954836
4-long,con,0.1,gauss,gauss,0.10026250249069427,1.0026250249069426,26.81799963954836
4-long,con,0.1,gauss,epsf,-0.002447187618444423,-0.024471876184444227,26.81799963954836
4-long,con,0.1,epsf,gauss,0.23741690690657635,2.3741690690657635,26.81799963954836
4-long,con,0.1,epsf,epsf,0.11051239693082796,1.1051239693082795,26.81799963954836
4-long,con,0.3,gauss,gauss,0.30084607860005613,1.0028202620001871,26.81799963954836
4-long,con,0.3,gauss,epsf,0.20250505942177222,0.6750168647392407,26.81799963954836
4-long,con,0.3,epsf,gauss,0.39193019952087016,1.3064339984029005,26.81799963954836
4-long,con,0.3,epsf,epsf,0.2785764879777574,0.9285882932591915,26.81799963954836
4-medium,con,0.01,gauss,gauss,0.009753126892596973,0.9753126892596973,22.823000552598387
4-medium,con,0.01,gauss,epsf,-0.041880992516435435,-4.188099251643544,22.823000552598387
4-medium,con,0.01,epsf,gauss,0.05514550760597801,5.514550760597801,22.823000552598387
4-medium,con,0.01,epsf,epsf,0.008142143636118072,0.8142143636118072,22.823000552598387
4-medium,con,0.02,gauss,gauss,0.02053152952497315,1.0265764762486576,22.823000552598387
4-medium,con,0.02,gauss,epsf,-0.031031579993739043,-1.551578999686952,22.823000552598387
4-medium,con,0.02,epsf,gauss,0.06619415346344044,3.309707673172022,22.823000552598387
4-medium,con,0.02,epsf,epsf,0.018887619237570052,0.9443809618785026,22.823000552598387
4-medium,con,0.05,gauss,gauss,0.049860088867147746,0.9972017773429549,22.823000552598387
4-medium,con,0.05,gauss,epsf,-0.0014067659777321521,-0.028135319554643042,22.823000552598387
4-medium,con,0.05,epsf,gauss,0.09741858091393596,1.9483716182787192,22.823000552598387
4-medium,con,0.05,epsf,epsf,0.05007082487122531,1.0014164974245061,22.823000552598387
4-medium,con,0.1,gauss,gauss,0.10042698524131506,1.0042698524131506,22.823000552598387
4-medium,con,0.1,gauss,epsf,0.049051648386485146,0.4905164838648514,22.823000552598387
4-medium,con,0.1,epsf,gauss,0.14737295525140998,1.4737295525140996,22.823000552598387
4-medium,con,0.1,epsf,epsf,0.1007998959192748,1.0079989591927478,22.823000552598387
4-medium,con,0.3,gauss,gauss,0.29946529361921337,0.9982176453973779,22.823000552598387
