source_id,nss_solution_type,l,b,nss_parallax,phot_g_mean_mag,bp_rp,m1_used,m1_source,class_det,a_tr_margin,m2_min_dark,flag_low_lat,cuts_eb26,d_pc,dust_tier,E_zgr23_eden,ebv_sfd_raw,a_g_lower,a_g_upper,a_v_mag,m1_dust,m1_source_dust,class_det_dust,margin_dust,m1_dust_upper,m1_source_dust_upper,class_det_dust_upper,margin_dust_upper,sfd_lowb_unreliable
421186247063922176,Orbital,119.1359251730365,-7.369761563135417,0.6729153874927615,13.082611,1.2465153,,evolved_bracket,1,0.5282325500646206,0.8147485783029714,True,True,1486.0709363861247,edenhofer_floor,0.17621360839421407,0.4030333106213639,0.40056617319005366,0.9039460045599449,0.48971135517490844,,evolved_bracket,1,0.5282325500646206,1.9898906347299743,photometric_ms,1,0.5289663172101742,False
421246788921590400,Orbital,119.63076840950468,-7.26944416335343,0.5299084587853393,14.663801,0.9255085,1.3675812,binary_masses,3,1.0022337876029725,1.4448814581171585,True,True,1887.1183945472553,edenhofer_floor,0.18684082980160485,0.35106009750578965,0.42472381600546355,0.7873775296923604,0.5192452319542459,1.3675812,binary_masses,3,1.0022337876029725,1.3675812,binary_masses,3,1.0022337876029725,False
421279258875158528,AstroSpectroSB1,119.85655502069584,-6.778641899772746,5.513268442276076,9.307366,0.79025555,1.4264631981722768,photometric_ms,1,0.3047357749880981,0.3181589138129977,True,True,181.38061124177077,edenhofer,0.023530887275312034,0.34695607519984145,0.05349006557173344,0.05349006557173344,0.06539417018396083,1.445787255912814,photometric_ms,1,0.3048740397576583,1.445787255912814,photometric_ms,1,0.3048740397576583,False
421322582204796672,AstroSpectroSB1,119.13109243189548,-6.69502764088793,0.4852275625074327,12.687586,1.5545645,,evolved_bracket,1,0.43225030262209496,0.6385897319992899,True,True,2060.8886989693256,edenhofer_floor,0.2228885159258956,0.37288441175518006,0.5066668839373126,0.8363263414855644,0.6194245619373994,,evolved_bracket,1,0.43225030262209496,,evolved_bracket,1,0.43225030262209496,False
421398418447021184,Orbital,118.6067049494756,-6.89119316873708,1.5169960431120224,13.233569,1.0950003,,evolved_bracket,1,0.48552684519869427,0.7345936321210896,True,True,659.1975005739387,edenhofer,0.2244523995592399,0.48061526189007664,0.5102218811252816,0.5102218811252816,0.6237707164733622,1.222551632772842,photometric_ms,1,0.521732354457097,1.222551632772842,photometric_ms,1,0.521732354457097,False
421432846905629056,Orbital,118.69579491372372,-6.530802476645411,1.4614919569690692,12.6923485,0.90402985,1.2613388073043712,photometric_ms,1,0.4555521727180175,0.47301910525826757,True,True,684.2322978457307,edenhofer,0.23462953879679918,0.4189823276552948,0.5333564037967174,0.5333564037967174,0.6520537798147548,1.4413961589290716,photometric_ms,1,0.4553979736197059,1.4413961589290716,photometric_ms,1,0.4553979736197059,False
421475727860999808,Orbital,118.33978492995227,-6.538234983461752,0.7343945345792862,13.971035,0.9954519,,evolved_bracket,1,0.3922328717428171,0.569276511597574,True,True,1361.665906967665,edenhofer_floor,0.30530666571665227,0.3918246783210974,0.694018605316466,0.878806647297423,0.8484710254474519,1.549961019960305,photometric_ms,1,0.41702299658830366,1.696758398229693,photometric_ms,1,0.422923926055386,False
421501600743618048,AstroSpectroSB1,118.13910659094172,-6.157251138032325,1.8704009206613876,11.941739,1.1298189,,evolved_bracket,1,0.46510363305290986,0.6972772672081736,True,True,534.6447325562654,edenhofer,0.22645298469939337,0.5301441471034662,0.5147695817315786,0.5147695817315786,0.6293304985415871,1.4805363993365568,photometric_ms,1,0.49699887666117953,1.4805363993365568,photometric_ms,1,0.49699887666117953,False
421528774993545344,Orbital,118.75807867814578,-6.422199720247093,0.5947091163289056,12.976133,1.404398,,evolved_bracket,1,0.5048663528007804,0.7705318005955271,True,True,1681.4943180506875,edenhofer_floor,0.302299210177288,0.4274555281380128,0.6871821017829401,0.9587215413825294,0.8401130720451498,,evolved_bracket,1,0.5048663528007804,,evolved_bracket,1,0.5048663528007804,False
421542798067288576,Orbital,118.6642180885817,-6.058908215023765,5.651712955059716,6.522569,0.9945278,,evolved_bracket,1,0.42539891238135347,0.6265553794018095,True,True,176.9375069030614,edenhofer,0.02611563544888024,0.4752721538780008,0.059365676961688915,0.059365676961688915,0.07257738686284657,,evolved_bracket,1,0.42539891238135347,,evolved_bracket,1,0.42539891238135347,False
