IAUNAME,DETUID,RA,DEC,DET_LIKE_0,ML_RATE_1,ML_EXP_1
3eRASS J085605.7+120939,sm03_133078_020_ML00014_001_c030,134.02416182146413,12.160886821672014,207.16168,0.2682111,245.52322
3eRASS J074812.7+205745,sm03_116069_020_ML00019_001_c030,117.05324643464408,20.962689148648444,178.20366,0.26686043,236.70123
3eRASS J050221.9+125048,sm03_075078_020_ML00011_001_c030,75.59145993046371,12.846706363191732,319.9827,0.26674187,359.11664
3eRASS J055335.3-564013,sm03_087147_020_ML01015_001_c030,88.39741988891465,-56.6704603311416,485.5093,0.26649058,1936.8551
3eRASS J052702.4+195301,sm03_081069_020_ML00017_001_c030,81.76008850752223,19.883884449542077,228.43396,0.26509967,331.59344
3eRASS J042503.9-064632,sm03_068096_020_ML00017_001_c030,66.26646070645131,-6.775618006015063,343.3124,0.26371583,470.11957
3eRASS J075229.1+040749,sm03_119087_020_ML00022_001_c030,118.12131757439278,4.130436915436254,177.98041,0.26229396,241.23732
3eRASS J061826.7+271247,sm03_095063_020_ML00011_001_c030,94.6113860911142,27.213170066955445,190.72267,0.26192763,242.23602
3eRASS J101341.0+194558,sm03_155069_020_ML00008_001_c030,153.4212347559426,19.766232539289472,92.59613,0.26145107,223.26962
3eRASS J111713.9-152330,sm03_171105_020_ML00035_001_c030,169.30832291227287,-15.39178578720041,136.49074,0.26058662,221.08055
3eRASS J053529.7-054845,sm03_083096_020_ML00032_001_c030,83.87388311895553,-5.812554171091714,140.98486,0.2602053,378.23123
3eRASS J075232.8-012028,sm03_119090_020_ML00020_001_c030,118.13681600614127,-1.341319061350028,186.22684,0.25974444,258.2736
3eRASS J074005.8-121706,sm03_114102_020_ML00011_001_c030,115.02427566075204,-12.285087022795812,224.85118,0.25908846,284.35132
3eRASS J131505.4-222000,sm03_199111_020_ML00011_001_c030,198.77271957949705,-22.333578187577604,327.58505,0.258993,430.03693
3eRASS J021434.1-254809,sm03_035117_020_ML00021_001_c030,33.642154769656635,-25.802509296207464,285.8512,0.25896376,419.09515
3eRASS J112916.8+313735,sm03_171057_020_ML00016_001_c030,172.3203769673376,31.62654572730137,181.30118,0.25881496,251.82556
3eRASS J082354.9+391526,sb03_127051_020_ML00024_001_c030,125.97900237385153,39.25728137235387,183.90613,0.25777698,250.42282
3eRASS J105202.0-445716,sm03_163135_020_ML00017_001_c030,163.00849443409612,-44.95463713661493,278.45947,0.25713024,445.3049
3eRASS J100114.2-442844,sm03_151135_020_ML00018_001_c030,150.30945293123244,-44.479132067165885,287.91876,0.25603724,430.23053
3eRASS J102753.5+172327,sm03_158072_020_ML00009_001_c030,156.9730241074654,17.3908836078465,171.61113,0.2559883,220.34474
3eRASS J081232.8-070807,sm03_125096_020_ML00014_001_c030,123.13703786679075,-7.135326515102814,210.36333,0.25385627,239.53008
3eRASS J175304.2-455150,sm03_267135_020_ML00042_001_c030,268.2678934019566,-45.86407453661245,140.01688,0.25277779,302.13596
3eRASS J040131.7-512541,sm03_062141_020_ML00024_001_c030,60.382300566227634,-51.428077052408746,844.28107,0.25217742,1117.8239
3eRASS J093642.0+111352,sm03_145078_020_ML00021_001_c030,144.17516070396158,11.231191180176985,151.53961,0.25186828,220.1344
3eRASS J080614.0-492403,sm03_124138_020_ML00057_001_c030,121.55834978932282,-49.4010159887748,356.67346,0.25162983,550.6574
3eRASS J085752.9-055258,sm03_134096_020_ML00036_001_c030,134.47058982119418,-5.883046594175678,142.44302,0.2515105,227.74171
3eRASS J124949.5-475842,sm03_193138_020_ML00008_001_c030,192.4565199405551,-47.97838642271598,205.10286,0.2512778,514.3787
3eRASS J092209.5+335100,sm03_139057_020_ML00025_001_c030,140.53964579258792,33.85024835447045,158.27629,0.2499864,236.02258
